p_zendar|禅 达 
p_town_1|克 拉 科 夫 
p_town_2|弗 罗 茨 瓦 夫 
p_town_3|格 但 斯 克 
p_town_4|波 兹 南 
p_town_1_1|埃 尔 宾 
p_town_1_2|哥 尼 斯 堡 
p_town_1_3|索 恩 
p_town_1_4|里 加 
p_town_2_1|维 尔 纽 斯 
p_town_2_2|考 纳 斯 
p_town_2_3|格 罗 德 诺 
p_town_2_4|波 洛 茨 克 
p_town_3_1|萨 莱 
p_town_3_2|斯 摩 棱 斯 克 
p_town_3_3|基 辅 
p_town_3_4|切 尔 尼 戈 夫 
p_town_4_1|隆 德 
p_town_4_2|罗 斯 基 勒 
p_town_4_3|雷 瓦 尔 
p_town_4_4|维 堡 
p_town_6_1|纽 伦 堡 
p_town_6_2|科 隆 
p_town_6_3|法 兰 克 福 
p_town_6_4|布 拉 格 
p_town_6_5|马 格 德 堡 
p_town_6_6|吕 贝 克 
p_town_6_7|热 那 亚 
p_town_7_1|瓦 拉 德 
p_town_7_2|萨 格 勒 布 
p_town_7_3|布 拉 迪 斯 拉 发 
p_town_7_4|塞 格 德 
p_town_8_1|诺 夫 哥 罗 德 
p_town_8_2|旧 鲁 萨 
p_town_9_1|伦 敦 
p_town_9_2|布 里 斯 托 尔 
p_town_9_3|切 斯 特 
p_town_9_4|约 克 
p_town_9_5|波 尔 多 
p_town_9_6|都 柏 林 
p_town_10_1|巴 黎 
p_town_10_2|南 特 
p_town_10_3|第 戎 
p_town_10_4|图 卢 兹 
p_town_10_5|鲁 昂 
p_town_10_6|普 罗 旺 斯 艾 克 斯 
p_town_11_1|尼 德 罗 斯 
p_town_11_2|卑 尔 根 
p_town_11_3|奥 斯 陆
p_town_12_1|斯 特 灵 
p_town_12_2|格 拉 斯 哥 
p_town_13_1|多 尼 戈 尔 
p_town_13_2|邓 甘 嫩 
p_town_14_1|韦 斯 特 罗 斯 
p_town_14_2|阿 布 
p_town_14_3|维 斯 比 
p_town_15_1|弗 拉 基 米 尔 沃 伦 斯 基 
p_town_15_2|加 利 奇 
p_town_15_3|利 沃 夫 
p_town_16_1|里 斯 本 
p_town_16_2|科 英 布 拉 
p_town_17_1|巴 塞 罗 那 
p_town_17_2|瓦 伦 西 亚 
p_town_18_1|托 莱 多 
p_town_18_2|塞 维 利 亚 
p_town_20_1|格 拉 纳 达 
p_town_20_2|龙 达 
p_town_21_1|罗 马 
p_town_22_1|尼 西 亚 
p_town_22_2|士 麦 那 
p_town_22_3|候 尼 埃 
p_town_22_4|萨 罗 尼 卡 
p_town_23_1|阿 卡 
p_town_23_2|塔 苏 斯 
p_town_23_3|耶 路 撒 冷 
p_town_23_4|安 塔 基 亚 
p_town_23_5|尼 科 西 亚 
p_town_24_1|巴 勒 莫 
p_town_24_2|那 不 勒 斯 
p_town_25_1|开 罗 
p_town_25_2|亚 历 山 大 
p_town_25_3|杜 姆 亚 特 
p_town_25_4|大 马 士 革 
p_town_26_1|君 士 坦 丁 堡 
p_town_26_2|雅 典 
p_town_27_1|特 拉 比 松 
p_town_27_2|安 卡 拉 
p_town_27_3|科 尼 亚 
p_town_28_1|突 尼 斯 
p_town_28_2|的 黎 波 里 
p_town_29_1|兹 韦 钱 
p_town_29_2|科 托 尔 
p_town_30_1|特 尔 诺 沃 
p_town_30_2|菲 利 波 波 利 
p_town_31_1|非 斯 
p_town_31_2|马 拉 喀 什 
p_town_31_3|瓦 赫 兰 
p_castle_1|格 涅 兹 诺 
p_castle_2|桑 多 梅 日 
p_castle_3|格 沃 古 夫 
p_castle_4|奥 波 莱 
p_castle_5|车 默 诺 
p_castle_6|克 斯 沃 
p_castle_7|卢 布 斯 卡 
p_castle_8|卢 布 林 
p_castle_1_1|阿 伦 斯 堡 
p_castle_1_2|巴 尔 加 
p_castle_1_3|维 尔 扬 迪 
p_castle_1_4|奥 登 斯 堡 
p_castle_1_5|多 尔 帕 特 
p_castle_1_6|林 巴 日 
p_castle_1_7|图 尔 登 
p_castle_1_8|玛 丽 恩 韦 德 
p_castle_1_9|文 登 堡 
p_castle_2_1|拉 森 尼 埃 
p_castle_2_2|希 米 尼 什 基 利
p_castle_2_3|杜 宾 基 
p_castle_2_4|克 拿 维 
p_castle_2_5|托 拉 皮 利 斯 
p_castle_2_6|新 格 鲁 多 克 
p_castle_2_7|明 斯 克 
p_castle_2_8|维 捷 布 斯 克 
p_castle_3_1|梁 赞 
p_castle_3_2|弗 拉 基 米 尔 
p_castle_3_3|别 尔 哥 罗 德 
p_castle_3_4|下 诺 夫 哥 罗 德 
p_castle_3_5|雅 罗 斯 拉 夫 尔 
p_castle_3_6|莫 斯 科 
p_castle_3_7|佩 列 斯 拉 夫 尔 
p_castle_4_1|阿 格 斯 
p_castle_4_2|奥 胡 斯 
p_castle_4_3|里 贝 卢 斯 
p_castle_4_4|石 勒 苏 益 格 
p_castle_4_5|施 威 因 巴 勒 堡
p_castle_4_6|凯 隆 堡 
p_castle_4_7|赫 尔 辛 格 堡 
p_castle_4_8|瓦 尔 贝 里 堡 
p_castle_6_1|亚 琛 
p_castle_6_2|特 里 尔 
p_castle_6_3|维 也 纳 
p_castle_6_4|美 因 茨 
p_castle_6_5|慕 尼 黑 
p_castle_6_6|勃 兰 登 堡 
p_castle_6_7|鲁 汶 堡 
p_castle_6_8|南 希 堡 
p_castle_6_9|维 罗 纳 
p_castle_6_10|斯 特 拉 斯 堡 
p_castle_6_11|巴 登 
p_castle_6_12|迈 森 
p_castle_7_1|布 里 卜 日 
p_castle_7_2|阿 尔 巴 尤 利 亚 堡
p_castle_7_3|克 塞 洛 堡 
p_castle_7_4|希 克 洛 什 堡 
p_castle_7_5|兹 沃 伦 堡 
p_castle_7_6|帕 塔 克 堡 
p_castle_7_7|考 洛 乔 堡 
p_castle_7_8|埃 斯 特 尔 戈 姆 堡 
p_castle_8_1|普 斯 科 夫 
p_castle_8_2|大 卢 基 
p_castle_9_1|比 斯 顿 堡 
p_castle_9_2|刘 易 斯 堡 
p_castle_9_3|科 夫 堡 
p_castle_9_4|多 佛 尔 堡 
p_castle_9_5|班 堡 
p_castle_9_6|兰 卡 斯 特 
p_castle_9_7|克 莱 尔 堡 
p_castle_9_8|彭 布 罗 克 堡 
p_castle_9_9|威 克 斯 福 德 堡 
p_castle_10_1|卡 尔 卡 松 
p_castle_10_2|莫 尔 坦 
p_castle_10_3|布 洛 涅 
p_castle_10_4|沙 隆 
p_castle_10_5|昂 古 莱 姆 
p_castle_10_6|卡 奥 尔 
p_castle_10_7|克 莱 蒙 
p_castle_10_8|奥 尔 良 
p_castle_10_9|桑 斯 
p_castle_10_10|希 农 
p_castle_10_11|阿 拉 斯 
p_castle_10_12|昂 热 
p_castle_11_1|博 格 若 
p_castle_11_2|勃 艮 第 
p_castle_11_3|斯 塔 万 格 
p_castle_11_4|滕 斯 贝 格 
p_castle_11_5|拉 恩 希 尔 达 摩 
p_castle_11_6|马 恩 
p_castle_12_1|厄 科 特 堡 
p_castle_12_2|丁 沃 尔 堡 
p_castle_12_3|基 尔 德 拉 米 堡 
p_castle_12_4|爱 丁 堡 
p_castle_13_1|斯 莱 戈 
p_castle_13_2|塔 利 霍 格 福 特 堡 
p_castle_13_3|布 拉 尼 堡 
p_castle_13_4|卡 瑞 克 阿 布 拉 吉 堡 
p_castle_14_1|卡 尔 马 尼 尔 
p_castle_14_2|斯 德 哥 尔 摩 
p_castle_14_3|斯 卡 拉 
p_castle_14_4|维 辛 苏 
p_castle_14_5|斯 特 克 博 格 
p_castle_14_6|林 雪 平 
p_castle_15_1|普 热 梅 希 尔 
p_castle_15_2|卢 茨 克 
p_castle_15_3|德 罗 希 琴 
p_castle_15_4|巴 库 玛 
p_castle_15_5|布 雷 斯 特 
p_castle_15_6|特 雷 波 利 雅 
p_castle_16_1|吉 马 良 斯 
p_castle_16_2|梅 尔 图 拉 
p_castle_16_3|锡 尔 维 什 
p_castle_16_4|布 拉 刚 萨 
p_castle_17_1|萨 拉 戈 萨 
p_castle_17_2|卡 斯 特 休 塔 特 
p_castle_17_3|佩 皮 尼 亚 
p_castle_17_4|阿 尔 科 伊 
p_castle_17_5|托 尔 托 萨 
p_castle_17_6|哈 卡 
